country,trips,spend,nights,latitude,longitude
New Zealand,1303,2410,15402,-40.9006,174.8860
Japan,385,1617,14562,36.2048,138.2529
Hong Kong,228,1128,6736,22.3193,114.1694
Singapore,386,1122,5949,1.3521,103.8198
Malaysia,194,705,5274,4.2105,101.9758
Indonesia,218,976,9531,-0.7893,113.9213
Taiwan,175,978,9515,23.6978,120.9605
Thailand,91,460,6064,15.8700,100.9925
Vietnam,154,906,7961,14.0583,108.2772
Philippines,179,608,10901,12.8797,121.7740
Korea,363,1445,9377,35.9078,127.7669
China,974,11246,53414,35.8617,104.1954
India,429,1835,28355,20.5937,78.9629
United States of America,697,2396,12104,37.0902,-95.7129
Canada,161,665,5101,56.1304,-106.3468
United Kingdom,721,2870,28128,55.3781,-3.4360
Germany,169,685,5741,51.1657,10.4515
France,139,925,11342,46.2276,2.2137
Italy,74,401,5007,41.8719,12.5674
Netherlands,52,215,1703,52.1326,5.2913
